factor_name,Group1,Group2,Group3,Group4,Group5,ic_mean,ic_sign,icir,long-average,long-short,signic>0,signic>0.04,t
"DownResample(DownStd($close/Ref($close,6) - 1,240), 240, 'last')",-0.005317433,-9.61E-06,0.000891369,0.001142266,0.000482214,-0.074190563,1,4.056801775,-0.00555791,-0.005799647,0.728865979,0.615463918,-25.16919841
"DownResample(DownStd($close/Ref($close,7) - 1,240), 240, 'last')",-0.005327745,-1.50E-05,0.000912626,0.001157922,0.000455958,-0.073926387,1,4.03923653,-0.005568223,-0.005783703,0.729381443,0.613917526,-25.06022016
"DownResample(DownStd($close/Ref($close,8) - 1,240), 240, 'last')",-0.005277209,-2.12E-05,0.00085976,0.001136814,0.000482648,-0.073590552,1,4.022329352,-0.005517687,-0.005759857,0.726804124,0.612371134,-24.95532469
"DownResample(DownStd($close/Ref($close,9) - 1,240), 240, 'last')",-0.005262139,-1.83E-05,0.000830992,0.001158789,0.000486882,-0.073131302,1,3.993195483,-0.005502617,-0.005749022,0.721649485,0.61185567,-24.77457243
"DownResample(DownStd($close/Ref($close,10) - 1,240), 240, 'last')",-0.005232182,-4.40E-05,0.000841654,0.001161009,0.000465307,-0.072723996,1,3.970225508,-0.00547266,-0.005697489,0.721649485,0.609278351,-24.63206217
"DownResample(DownStd($close/Ref($close,11) - 1,240), 240, 'last')",-0.0051991,-6.09E-05,0.000833092,0.001123718,0.000492078,-0.072332984,1,3.945260694,-0.005439578,-0.005691178,0.719587629,0.607731959,-24.47717554
"DownResample(DownStd($close/Ref($close,12) - 1,240), 240, 'last')",-0.005188439,-6.95E-05,0.00081874,0.001136279,0.000489736,-0.071932685,1,3.919420643,-0.005428917,-0.005678175,0.715979381,0.607216495,-24.31685877
"DownResample(DownStd($close/Ref($close,13) - 1,240), 240, 'last')",-0.005157495,-6.57E-05,0.000814371,0.0011018,0.000471936,-0.07141495,1,3.889315203,-0.005397973,-0.005629431,0.715979381,0.603092784,-24.13007868
"DownResample(DownStd($close/Ref($close,14) - 1,240), 240, 'last')",-0.005131918,-7.11E-05,0.000793848,0.001118423,0.000469562,-0.071010804,1,3.86533507,-0.005372396,-0.00560148,0.714948454,0.605154639,-23.9813012
"DownResample(DownStd($close/Ref($close,15) - 1,240), 240, 'last')",-0.005085476,-0.000105112,0.000796319,0.001102336,0.000475429,-0.070579254,1,3.842279074,-0.005325954,-0.005560906,0.715463918,0.604123711,-23.83825725
"DownResample(DownStd($close/Ref($close,16) - 1,240), 240, 'last')",-0.005045484,-0.000118295,0.000785778,0.001107055,0.0004511,-0.070141976,1,3.81837631,-0.005285962,-0.005496584,0.71443299,0.60257732,-23.6899598
"DownResample(DownStd($close/Ref($close,17) - 1,240), 240, 'last')",-0.00501909,-0.000130986,0.0007826,0.001095132,0.000440224,-0.069721925,1,3.79635664,-0.005259567,-0.005459314,0.713402062,0.601546392,-23.55334542
"DownResample(DownStd($close/Ref($close,18) - 1,240), 240, 'last')",-0.004992827,-0.000125519,0.00075204,0.001088444,0.000444074,-0.069360856,1,3.779411692,-0.005233305,-0.005436901,0.712371134,0.601030928,-23.44821562
"DownResample(DownStd($close/Ref($close,19) - 1,240), 240, 'last')",-0.004975177,-0.000130044,0.000756599,0.001081072,0.000440962,-0.068954567,1,3.7607827,-0.005215655,-0.005416139,0.712371134,0.6,-23.33263768
"DownResample(DownStd($close/Ref($close,20) - 1,240), 240, 'last')",-0.004955231,-0.000113649,0.00071188,0.001101305,0.00042527,-0.068579902,1,3.741133782,-0.005195709,-0.005380501,0.713402062,0.598453608,-23.21073192
"DownResample(DownStd($close/Ref($close,21) - 1,240), 240, 'last')",-0.004913234,-0.000116722,0.000720106,0.00105759,0.000414224,-0.068192316,1,3.720025879,-0.005153712,-0.005327458,0.71185567,0.59742268,-23.07977432
"DownResample(DownStd($close/Ref($close,22) - 1,240), 240, 'last')",-0.004892672,-0.000125998,0.000711954,0.001057229,0.000412149,-0.06783865,1,3.701404946,-0.00513315,-0.005304821,0.710309278,0.596391753,-22.96424638
"DownResample(DownStd($close/Ref($close,23) - 1,240), 240, 'last')",-0.004866144,-0.000110095,0.000711114,0.001034135,0.000391599,-0.067392973,1,3.678108802,-0.005106622,-0.005257742,0.709278351,0.596391753,-22.81971251
"DownResample(DownStd($close/Ref($close,24) - 1,240), 240, 'last')",-0.004838414,-0.000135089,0.000721968,0.001022023,0.000385161,-0.067078172,1,3.663230761,-0.005078892,-0.005223576,0.707216495,0.596907216,-22.7274062
"DownResample(DownStd($close/Ref($close,25) - 1,240), 240, 'last')",-0.004827582,-0.000124655,0.00071571,0.000995648,0.000395888,-0.066750211,1,3.646680518,-0.00506806,-0.00522347,0.705154639,0.595876289,-22.62472523
"DownResample(DownStd($close/Ref($close,26) - 1,240), 240, 'last')",-0.004802102,-0.00012464,0.000698862,0.000988728,0.000389296,-0.066460996,1,3.631931701,-0.00504258,-0.005191399,0.706701031,0.593814433,-22.53322067
"DownResample(DownStd($close/Ref($close,27) - 1,240), 240, 'last')",-0.004780953,-0.000127015,0.000675423,0.001000254,0.000374137,-0.066156389,1,3.615974253,-0.005021431,-0.00515509,0.705154639,0.593814433,-22.43421751
"DownResample(DownStd($close/Ref($close,28) - 1,240), 240, 'last')",-0.004760149,-0.000137904,0.000679315,0.000995135,0.000383481,-0.065882449,1,3.603501982,-0.005000627,-0.00514363,0.706701031,0.593814433,-22.35683708
"DownResample(DownStd($close/Ref($close,29) - 1,240), 240, 'last')",-0.004749357,-0.000120891,0.000654096,0.001013966,0.00036267,-0.065626123,1,3.591143498,-0.004989835,-0.005112027,0.707731959,0.592783505,-22.28016261
"DownResample(DownStd($close/Ref($close,30) - 1,240), 240, 'last')",-0.004731298,-0.000140392,0.000666948,0.000989116,0.000377249,-0.065439365,1,3.582022505,-0.004971776,-0.005108547,0.708247423,0.591752577,-22.22357417
"DownResample(Corr($open, $volume, 240), 240, 'last')",-0.004147679,-1.03E-05,0.001921853,0.002226214,0.001312241,-0.043961455,1,4.132129642,-0.004388157,-0.00545992,0.749484536,0.536597938,-25.63654735
"DownResample(Corr($high, $volume, 240), 240, 'last')",-0.004283524,-0.000316685,0.001407299,0.00260464,0.001688491,-0.047516931,1,4.491727228,-0.004524001,-0.005972014,0.754639175,0.544329897,-27.86756171
"DownResample(Corr($low, $volume, 240), 240, 'last')",-0.003902985,0.000564054,0.002052391,0.001472181,0.001111717,-0.042640939,1,4.086926558,-0.004143463,-0.005014703,0.743298969,0.529381443,-25.3560985
"DownResample(Corr($close, $volume, 240), 240, 'last')",-0.004109159,-3.57E-05,0.001958011,0.002086964,0.00120185,-0.045790416,1,4.327874947,-0.004349637,-0.005311009,0.752061856,0.539175258,-26.85098983
"DownResample(Corr($total_turnover/($volume+1e-12), $volume, 240), 240, 'last')",0.003948675,3.48E-05,-0.000695854,-0.000615783,-0.001229229,0.030701152,1,2.634977326,0.003708197,0.005177905,0.66185567,0.447938144,16.34791907
"DownResample(DownResample(Slope($close,10), 10, ""last"")/DownResample($close, 10, 'mean'), 24, ""last"")",-0.004097468,-0.000154871,0.001698392,0.002719688,0.001080339,-0.040194778,1,5.369623837,-0.004337946,-0.005177807,0.828865979,0.505670103,-33.31420543
"DownResample(DownResample(Slope($close,15), 15, ""last"")/DownResample($close, 15, 'mean'), 16, ""last"")",-0.004300094,0.00031373,0.001783857,0.002445699,0.001018533,-0.038882345,1,4.311076201,-0.004540572,-0.005318627,0.785051546,0.501546392,-26.7467671
"DownResample(DownResample(Slope($close,20), 20, ""last"")/DownResample($close, 20, 'mean'), 12, ""last"")",-0.004308326,0.000423582,0.001763151,0.002485142,0.000900345,-0.037426608,1,3.705190876,-0.004548804,-0.005208671,0.753092784,0.474226804,-22.98773504
"DownResample(DownResample(Slope($close,30), 30, ""last"")/DownResample($close, 30, 'mean'), 8, ""last"")",-0.004133431,0.00068209,0.001879811,0.002261686,0.000577634,-0.032117118,1,2.744495768,-0.004373909,-0.004711065,0.686597938,0.429381443,-17.02739309
"DownResample(DownResample(Slope($close,40), 40, ""last"")/DownResample($close, 40, 'mean'), 6, ""last"")",-0.00391752,0.000666218,0.001735643,0.002275111,0.000514941,-0.028980138,1,2.319325228,-0.004157998,-0.004432461,0.651546392,0.418556701,-14.3895512
"DownResample(DownResample(Slope($close,60), 60, ""last"")/DownResample($close, 60, 'mean'), 4, ""last"")",-0.003781533,0.000926978,0.001712316,0.001957003,0.000457134,-0.025615087,1,1.868530391,-0.004022011,-0.004238666,0.613917526,0.400515464,-11.59273111
"DownResample(Max($close/Ref($close,1) - 1, 240), 240, ""last"")",-0.000616823,-2.32E-06,0.000924206,0.001144607,-0.000208185,-0.057664922,1,3.433683715,-0.000857301,-0.000408638,0.722680412,0.59742268,-21.30325106
"DownResample(Max($close/Ref($close,2) - 1, 240), 240, ""last"")",-0.001119514,-2.64E-05,0.001085122,0.001342601,-3.81E-05,-0.065227036,1,3.756741309,-0.001359992,-0.001081407,0.736082474,0.608247423,-23.30756409
"DownResample(Max($close/Ref($close,3) - 1, 240), 240, ""last"")",-0.001166837,-7.41E-05,0.001143701,0.001345488,-1.37E-06,-0.066960358,1,3.829389628,-0.001407315,-0.001165463,0.736082474,0.61185567,-23.75828859
"DownResample(Max($close/Ref($close,4) - 1, 240), 240, ""last"")",-0.001188498,-4.99E-05,0.001131315,0.001378844,-3.38E-05,-0.06734931,1,3.850438145,-0.001428976,-0.001154718,0.735051546,0.615979381,-23.88887774
"DownResample(Max($close/Ref($close,5) - 1, 240), 240, ""last"")",-0.001211302,7.29E-07,0.001134212,0.001385466,-5.70E-05,-0.067344266,1,3.848371294,-0.00145178,-0.001154255,0.732989691,0.61443299,-23.87605459
"DownResample(Max($close/Ref($close,6) - 1, 240), 240, ""last"")",-0.001216951,3.33E-05,0.001123298,0.001392847,-8.08E-05,-0.067154937,1,3.838937791,-0.001457429,-0.001136123,0.730927835,0.61185567,-23.81752728
"DownResample(Max($close/Ref($close,7) - 1, 240), 240, ""last"")",-0.001229242,6.93E-05,0.001174221,0.001308053,-9.54E-05,-0.066978095,1,3.829986132,-0.00146972,-0.001133804,0.730927835,0.611340206,-23.76198942
"DownResample(Max($close/Ref($close,8) - 1, 240), 240, ""last"")",-0.001189346,5.38E-05,0.00113695,0.001351735,-0.000103746,-0.066671247,1,3.807424478,-0.001429824,-0.0010856,0.730927835,0.608762887,-23.62201247
"DownResample(Max($close/Ref($close,9) - 1, 240), 240, ""last"")",-0.001181097,2.18E-05,0.001160869,0.001332083,-8.88E-05,-0.066505761,1,3.789208322,-0.001421575,-0.001092344,0.728350515,0.607731959,-23.50899584
"DownResample(Max($close/Ref($close,10) - 1, 240), 240, ""last"")",-0.001157754,8.72E-06,0.001159211,0.001340449,-0.000109533,-0.066363208,1,3.774436412,-0.001398232,-0.001048221,0.726804124,0.609278351,-23.417348
"DownResample(Max($close/Ref($close,11) - 1, 240), 240, ""last"")",-0.001155476,4.25E-05,0.00115946,0.001350598,-0.000181378,-0.065919218,1,3.741143116,-0.001395954,-0.000974099,0.727319588,0.610824742,-23.21078983
"DownResample(Max($close/Ref($close,12) - 1, 240), 240, ""last"")",-0.001113051,5.27E-05,0.001122513,0.001328227,-0.000142017,-0.065608038,1,3.721649761,-0.001353529,-0.000971034,0.722680412,0.609793814,-23.0898492
